text,type
a block of new low rise flats has been built opposite the crossgates shopping centre  and apartments are being sold and rented at very high prices,When?
in some jurisdictions  following the collapse of a ponzi scheme  even the  innocent  beneficiaries are liable to repay any gains for distribution to the victims,Which?
although the illness was attributed the tetrachloride  some suspected that the fresh water tanks had not been cleaned as requested,Who?
the us navy maintains   carrier strike groups    of which are based in the united states and one that is forward deployed in yokosuka  japan,When?
some critics accused the organizers for still showing outdated soviet era aircraft,Who?
in   the national research council of canada commissioned a feasibility study on the idea of planting a large explosive charge underneath the peaks by drilling vertical and horizontal shafts from maud island in the sound,Dubious
at its peak  it was active in up to   countries  it continues in india and at the state level in the united states,Dubious
the earliest zoroastrian calendar  also misleadingly called avestan calendar  follows the babylonian in relating the seventh and other days of the month to ahura mazda boyce  mary  ed,By whom?
his book on world war i is described as a majestic  single volume work incorporating all major fronts domestic  diplomatic  military for a stunning achievement of research and storytelling,By whom?
lauder is credited with giving the then  year old portrait artist cowan dobson his opening into society by commissioning him  in   to paint his portrait,By whom?
in   he offered to resign from the series when reading in his scripts that his character was to take ecstasy  he reportedly urged producers to kill his character off in an attempt to warn youngsters about the dangers of taking drugs  but his offer was rejected,Dubious
santa elena  named after helena of constantinople  is a district of the cordillera department  paraguay,Dubious
the thick pink germolene ointment was confirmed by bayer as no longer being available to the uk public in july  http www intelligentanswers co uk index php topic  as of   it is only available with a doctor s prescription,Dubious
he was expected to study law at the coll ge d harcourt in paris  but instead found himself drawn to a more artistic lifestyle,By whom?
because of this  the definition of an ep is not determined only by the number of tracks or the playing time an ep is typically seen as four  or more  tracks of equal importance  as opposed to a four track single with an obvious a side and three b sides,By whom?
the coat of arms of nigeria consists of a black shield with a wavy white pall  symbolizing the meeting of the niger and benue rivers at lokoja,Dubious
examples of theatrical productions include the many productions of the play  unschuld   innocence  by the german writer dea loher  although in this play about two black african immigrants  the use of black face is not part of the stage directions or instructions,When?
the origin of the modern offence lay in the   black act  which addressed a group of notorious poachers and extortioners see the preamble to the black act for details in   an act was passed that criminalised  demanding money or other valuable thing    where no reasonableness or menace was required  and in   this was updated in a further act to cover  any letter or writing demanding of any person  with menaces  and without reasonable or probable cause  thus mentioning menaces for the first time in the context of blackmail,Which?
some scholars use it to define a separate culture  the harifian,Who?
the chimpanzee fossil record has long been absent and thought to have been due to the preservation bias in relation to their environment,Dubious
it began as an agricultural high school before becoming a two year college and then a four year university,When?
