text,type
september     sylvester graham  american nutritionist  inventor  b,Yes
thumbaerial view of the current halliburton headquarters  in   halliburton announced that it planned to move its headquarters to the north belt campus in houston,No
the  th gloucesters and the  th royal welch fusiliers were sent to support the wellington battalion of the new zealand infantry brigade when it made the decisive assault on chunuk bair on the morning of   august,Yes
as of   it was estimated that   billion people use the internet  more than half of the world s population,No
his arrival in ljubljana in   was very important for development of mathematics in slovenia,No
british army uniforms issued in the past included dedicated field dressing pockets,No
baba metzia  ba midrash tells that they even abolished the sign of the covenant  and the prophet had to appear as israel s accuser before god pir e r  el,No
this view allows for a natural geometric interpretation of the cross product,No
june     john barrie s philadelphia spelling book arranged upon a plan entirely new becomes the first american book copyrighted,Yes
the  s bc is a decade which lasted from   bc to   bc,Yes
columbia brought up the issue again at a meeting of the new york city board of estimate in   after a student was killed while crossing the street,Yes
they then recorded their first independent record  american arrogance,No
december     ignacio comonfort   becomes president of mexico,Yes
the  th battalion  cef  had one officer commanding  lieutenant colonel robert belcher,Yes
some people who fall into the canterbury region of waitaki district still regard themselves as part of otago  and attempts have been made in the past to change the boundary,No
july     opening of the wadsworth atheneum  which is today the oldest art museum in the united states,Yes
since wording of that recension  who is from the father and the son  does not contain any mention of the term  procession  or any of the other particular terms that would describe relations between father  son and the holy spirit  the previously mentioned claim for the  earliest use  of filioque clause is not universally accepted by scholars,No
often seen as a controversial figure  margallo has often been critical of gibraltar,No
john marston s the metamorphosis of pigmalion s image and certaine satyres begins a trend in english satirical writing that leads to official suppression in the following year,Yes
note that a good source of data on the subject of caesium in chernobyl fallout exists at  ukrainian research institute for agricultural radiology,No
she is currently the lead figure in a band called family stone  formerly called phunk phamily affair,No
changed party affiliation april,Yes
the extratropical storm remained until september   when it dissipated off the coast of ireland,Yes
the town was formerly known as goedgegun  but the name was changed to nhlangano  meaning  the meeting place,No
historyit is said that the original settlement at the location of modern liep ja was founded by curonian fishermen from piemare as l va  but henry  henricus lettus  of livonia  in his famous chronicle  makes no mention of the settlement,No
radiological weapons are normally considered weapons of mass destruction  wmds  although radiological weapons can be specific in who they target  such as the radiation poisoning of alexander litvinenko by the russian fsb  using radioactive polonium,No
year    mxvi  was a leap year starting on sunday  link will display the full calendar  of the julian calendar,Yes
the script may have access to additional information on the web client or on the user  not sent in the query  such as visitors  screen sizes and the price of the goods they purchased,No
may     richard i marries the  year old berengaria of navarre  daughter of king sancho vi  the wise  in the chapel of st,Yes
original faience plaques with the number   are in the southern end of the mezzanine  near one of the entrances,Yes
by autumn   task force black were operating in a  semi detached way  due to senior british officials taking issues with mistreatment and poor quality cells at jsocs detention facility at balad  handing over to regular us army units rather than sending them to balad  the deportation of detainees captured in operation aston etc,No
the recent rapid growth in sacu revenues has  however  reversed the fiscal situation  and a sizeable surplus was recorded in   and,No
the actual final plans  filed in june   provided for a  story structure,Yes
collaborated with hardy to recreate her   study featured aired in   reporting results similar to the   feature,No
he is also currently a director of blackcircles com,No
on january     ten car express trains began running on the west side line,Yes
the people s republic of china makes free use of the number   in many military designations for people s liberation army equipment  with examples including the dongfeng  icbm  type   submarine  and type  a frigate  although the practice of starting aircraft designations with   leads some to speculate that it avoids the starting numeral   for aircraft designations much as the united states avoids use of the number   in that context,No
march     henry vii of england issues letters patent to italian born adventurer john cabot and his sons  authorizing them to discover unknown lands,Yes
although federally imposed conditions of reconstruction retrospectively seem logical  there was a widespread belief that southern unionism would return the seceded states to the union after the confederacy s military power was broken,No
resigned september     to run for governor of georgia winner elected september,Yes
he is now an emeritus professor at nottingham and also has a part time position as guang biao professor at zhejiang university,No
producer  vocal arranger  engineer  and mixing prince charles alexander   mixing deric angelettie   additional programming dan beroff   assistant engineer carlos broady   remixing mr,Yes
this use has led to number   becoming a synonym for the player in that particular role  even if he or she does not wear that number,Yes
it tracked northwestward  and on september   falling air pressure was observed at havana  cuba  some southwest of the storm s center,Yes
the uk s tallest tree is a grand fir planted beside loch fyne  argyll in the  s  and the fortingall yew may be   years old and is probably the oldest living thing in europe copping  jasper   june    britain s record breaking trees identified  london,No
birmingham city council s gross value added  sets out how investment in the curzon area will enable the city to benefit from the improved connectivity with london  phase one   and northern cities in phase two,No
feve s rails transported approximately   million tonnes of goods each year  accounting for a large part of the company s business,No
this article presents lists of the literary events and publications in,Yes
semantic forensics  semafor  program  develop technologies to automatically detect  attribute  and characterize falsified media  e g  text  audio  image  video  to defend against automated disinformation,No
mm film is used in television  such as for the hallmark hall of fame anthology  it has since been produced in   high definition  and friday night lights and the o c,No
retrieved from  http ecrmadvisor razorfish com issue html   of retailers don t talk about privacy in their sign up or welcome email about   of major online retailers discuss privacy concerns during the email subscription processas the use of the internet  electronic crm solutions  and even the existence of e business are rising  so are the efforts to further develop the systems being used and to increase their safety for customers  in order to further reap the benefits of their use,No
november     the anarchy in the kingdom of england   robert   st earl of gloucester is exchanged by empress matilda for king stephen  who reassumes the throne of england,Yes
some definitions  including the standard iso   begin the natural numbers with   corresponding to the non negative integers  sometimes collectively denoted by the symbol  mathbb  for emphasizing that zero is excluded texts that exclude zero from the natural numbers sometimes refer to the natural numbers together with zero as the whole numbers  while in other writings  that term is used instead for the integers  including negative integers,No
may     king george ii of great britain orders the british army to prepare for an invasion of prussia to defend his electorate of hanover,Yes
although it is recognized that these individuals have the bodies of men  they perform gender in a different manner than men  it is not a masculine persona but neither is it a feminine persona that they perform but  in general  a combination of the two,No
the senators from alabama and maine were not seated until later in the congress,Yes
in july   standard and poor s  s p  rating services reaffirmed the city of rancho cordova s a  long term rating  noting the city s outlook is stable and its financial performance has been good,No
r  hook  seria men at arms    oxford  osprey publishing      oclc  commanded by colonel  later general stanis aw maczek  it is considered one of few polish world war ii military units  brigade size or larger  not to have been decisively defeated in,Yes
year    mcccix  was a common year starting on wednesday  link will display the full calendar  of the julian calendar,Yes
in   he founded a publishing company  the  cooperation publishing service  which was known for its strong anti nazi stance,No
may     senator jim jeffords  previously a republican  declared himself an independent and announced he would join the democratic caucus  giving the democrats majority control  effective june,Yes
dmytryk fled to england and unofficially was ostracized,No
